county,apiNum,operator,lease,well,type,typeDate,status,statusDate,currentPermit,latitude,longitude,elevation,depth,year
Adair                                   ,001-00019,AMAX COAL,MEADOW LARK FARM,CF-129,Stratigraphic Test                                                              ,18jun1976,Abandoned                                                                       ,18jun1976,,40.30677,-92.85302,845,300,1976
Adair                                   ,001-00020,AMAX COAL,MEADOW LARK FARM,CF-102C,Stratigraphic Test                                                              ,06jun1976,Abandoned                                                                       ,06jun1976,,40.31087,-92.84394,,115,1976
Adair                                   ,001-00021,AMAX COAL,MEADOW LARK FARM,CF-113,Stratigraphic Test                                                              ,15jun1976,Abandoned                                                                       ,15jun1976,,40.31087,-92.84394,,160,1976
Adair                                   ,001-00022,AMAX COAL,MEADOW LARK FARM,CF-012,Stratigraphic Test                                                              ,08jun1976,Abandoned                                                                       ,08jun1976,,40.32086,-92.84762000000001,,180,1976
Adair                                   ,001-00023,AMAX COAL,MEADOW LARK FARM,CF-102,Stratigraphic Test                                                              ,05jun1976,Abandoned                                                                       ,05jun1976,,40.31805,-92.8207,,150,1976
Adair                                   ,001-00025,AMAX COAL,MEADOW LARK FARM,CF-104,Stratigraphic Test                                                              ,06jun1976,Abandoned                                                                       ,06jun1976,,40.33653,-92.82574,,120,1976
Adair                                   ,001-00026,AMAX COAL,MEADOW LARK FARM,CF-103,Stratigraphic Test                                                              ,17jun1976,Abandoned                                                                       ,17jun1976,,40.33843,-92.85072,,115,1976
Adair                                   ,001-20011,AMAX COAL,MEADOW LARK FARM,CF-128,Stratigraphic Test                                                              ,18jun1976,Abandoned                                                                       ,18jun1976,,40.2877,-92.82980000000001,,,1976
Adair                                   ,001-20012,AMAX COAL,MEADOW LARK FARM,CF-121,Stratigraphic Test                                                              ,14jun1976,Abandoned                                                                       ,14jun1976,,40.2788,-92.839,,,1976
Adair                                   ,001-20013,AMAX COAL,MEADOW LARK FARM,CF-135,Stratigraphic Test                                                              ,20jun1976,Abandoned                                                                       ,20jun1976,,40.3019,-92.8437,,160,1976
Adair                                   ,001-20014,AMAX COAL,MEADOW LARK FARM,CF-123,Stratigraphic Test                                                              ,19jun1976,Abandoned                                                                       ,19jun1976,,40.344,-92.53360000000001,,,1976
Adair                                   ,001-20015,AMAX COAL,MEADOW LARK FARM,CF-112,Stratigraphic Test                                                              ,08jun1976,Abandoned                                                                       ,08jun1976,,40.3075,-92.8532,,180,1976
Putnam                                  ,171-00014,AMAX COAL,MEADOW LARK FARM,CF-105,Stratigraphic Test                                                              ,06jun1976,Abandoned                                                                       ,06jun1976,,40.352303,-92.847595,,134,1976
Sullivan                                ,211-00004,AMAX COAL,MEADOW LARK FARM,CF-015,Stratigraphic Test                                                              ,09jun1976,Abandoned                                                                       ,09jun1976,,40.3102,-92.88321000000001,976,200,1976
Sullivan                                ,211-00005,AMAX COAL,MEADOW LARK FARM,CF-023,Stratigraphic Test                                                              ,19jun1976,Abandoned                                                                       ,19jun1976,,40.34151,-92.85769999999999,979,100,1976
Sullivan                                ,211-00006,AMAX COAL,MEADOW LARK FARM,CF-031,Stratigraphic Test                                                              ,19jun1976,Abandoned                                                                       ,19jun1976,,40.33579,-92.8689,952,200,1976
Sullivan                                ,211-00007,AMAX COAL,MEADOW LARK FARM,CF-106C,Stratigraphic Test                                                              ,17jun1976,Abandoned                                                                       ,17jun1976,,40.34951,-92.86517000000001,,160,1976
Sullivan                                ,211-00008,AMAX COAL,MEADOW LARK FARM,CF-112C,Stratigraphic Test                                                              ,11jun1976,Abandoned                                                                       ,11jun1976,,40.311933,-92.912132,1005,160,1976
Sullivan                                ,211-00009,AMAX COAL,MEADOW LARK FARM,CF-126B,Stratigraphic Test                                                              ,19jun1976,Abandoned                                                                       ,19jun1976,,40.314447,-92.892768,971,160,1976
Sullivan                                ,211-00010,AMAX COAL,MEADOW LARK FARM,CF-117C,Stratigraphic Test                                                              ,11jun1976,Abandoned                                                                       ,11jun1976,,40.322323,-92.85841600000001,954,125,1976
Sullivan                                ,211-00014,AMAX COAL,MEADOW LARK FARM,CF-122,Stratigraphic Test                                                              ,17jul1976,Abandoned                                                                       ,17jul1976,,40.27253,-92.85726,,,1976
Sullivan                                ,211-00015,AMAX COAL,MEADOW LARK FARM,CF-114,Stratigraphic Test                                                              ,09jun1976,Abandoned                                                                       ,09jun1976,,40.2979,-92.87989,,260,1976
Sullivan                                ,211-00021,AMAX COAL,MEADOW LARK FARM,CF-106C,Stratigraphic Test                                                              ,07jun1976,Abandoned                                                                       ,07jun1976,,40.34291,-92.86879999999999,,178,1976
Sullivan                                ,211-00022,AMAX COAL,MEADOW LARK FARM,CF-006,Stratigraphic Test                                                              ,07jul1976,Abandoned                                                                       ,07jul1976,,40.34951,-92.86517000000001,,,1976
Sullivan                                ,211-00023,AMAX COAL,MEADOW LARK FARM,CF-111,Stratigraphic Test                                                              ,08jun1976,Abandoned                                                                       ,08jun1976,,40.31244,-92.86019,,,1976
Sullivan                                ,211-00024,AMAX COAL,MEADOW LARK FARM,CF-110,Stratigraphic Test                                                              ,08jun1976,Abandoned                                                                       ,08jun1976,,40.34078,-92.88583,,240,1976
Sullivan                                ,211-00025,AMAX COAL,MEADOW LARK FARM,CF-109,Stratigraphic Test                                                              ,07jun1976,Abandoned                                                                       ,07jun1976,,40.32825,-92.87903,,200,1976
Sullivan                                ,211-00026,AMAX COAL,MEADOW LARK FARM,CF-108,Stratigraphic Test                                                              ,07jun1976,Abandoned                                                                       ,07jun1976,,40.32162,-92.85774000000001,,135,1976
Sullivan                                ,211-00027,AMAX COAL,MEADOW LARK FARM,CF-107,Stratigraphic Test                                                              ,07jun1976,Abandoned                                                                       ,07jun1976,,40.35751,-92.87017,,260,1976
Sullivan                                ,211-00028,AMAX COAL,MEADOW LARK FARM,CF-136,Stratigraphic Test                                                              ,20jun1976,Abandoned                                                                       ,20jun1976,,40.30674,-92.8856,,140,1976
Sullivan                                ,211-00029,AMAX COAL,MEADOW LARK FARM,CF-134,Stratigraphic Test                                                              ,20jun1976,Abandoned                                                                       ,20jun1976,,40.31909,-92.90197999999999,,300,1976
Sullivan                                ,211-00030,AMAX COAL,MEADOW LARK FARM,CF-133,Stratigraphic Test                                                              ,20jun1976,Abandoned                                                                       ,20jun1976,,40.30814,-92.90458,,160,1976
Sullivan                                ,211-00031,AMAX COAL,MEADOW LARK FARM,CF-132,Stratigraphic Test                                                              ,20jun1976,Abandoned                                                                       ,20jun1976,,40.3482,-92.87636000000001,,280,1976
Sullivan                                ,211-00032,AMAX COAL,MEADOW LARK FARM,CF-131,Stratigraphic Test                                                              ,19jun1976,Abandoned                                                                       ,19jun1976,,40.33397,-92.86882,,200,1976
Sullivan                                ,211-00033,AMAX COAL,MEADOW LARK FARM,CF-130,Stratigraphic Test                                                              ,19jun1976,Abandoned                                                                       ,19jun1976,,40.3355,-92.88534,,290,1976
Sullivan                                ,211-00034,AMAX COAL,MEADOW LARK FARM,CF-127,Stratigraphic Test                                                              ,18jun1976,Abandoned                                                                       ,18jun1976,,40.32849,-92.86628,,120,1976
Sullivan                                ,211-00035,AMAX COAL,MEADOW LARK FARM,CF-125,Stratigraphic Test                                                              ,18jun1976,Abandoned                                                                       ,18jun1976,,40.31225,-92.86224,,80,1976
Sullivan                                ,211-00036,AMAX COAL,MEADOW LARK FARM,CF-124C,Stratigraphic Test                                                              ,17jun1976,Abandoned                                                                       ,17jun1976,,40.31909,-92.90197999999999,,35,1976
Sullivan                                ,211-00037,AMAX COAL,MEADOW LARK FARM,CF-124,Stratigraphic Test                                                              ,17jun1976,Abandoned                                                                       ,17jun1976,,40.31909,-92.90197999999999,,50,1976
Sullivan                                ,211-00038,AMAX COAL,MEADOW LARK FARM,CF-119,Stratigraphic Test                                                              ,09jun1976,Abandoned                                                                       ,09jun1976,,40.32572,-92.93992,,300,1976
Sullivan                                ,211-00039,AMAX COAL,MEADOW LARK FARM,CF-118,Stratigraphic Test                                                              ,09jun1976,Abandoned                                                                       ,09jun1976,,40.31186,-92.9114,,200,1976
Sullivan                                ,211-00040,AMAX COAL,MEADOW LARK FARM,CF-117,Stratigraphic Test                                                              ,09jun1976,Abandoned                                                                       ,09jun1976,,40.31513,-92.91119,,180,1976
Sullivan                                ,211-00041,AMAX COAL,MEADOW LARK FARM,CF-116,Stratigraphic Test                                                              ,09jun1976,Abandoned                                                                       ,09jun1976,,40.2992,-92.89761,,300,1976
Sullivan                                ,211-00042,AMAX COAL,MEADOW LARK FARM,CF-115,Stratigraphic Test                                                              ,09jun1976,Abandoned                                                                       ,09jun1976,,40.3102,-92.88321000000001,,200,1976
Cass                                    ,037-00174,"AMENT, LOUISA",FEE,1,Dry Hole                                                                        ,15may1928,Abandoned                                                                       ,15may1928,,38.614448,-94.392458,834,387,1928
Jackson                                 ,095-00173,AMER. WIPER & WASTE MILL,FEE,,Gas(Private Use)                                                                ,06jan1956,Abandoned                                                                       ,06jan1956,,39.10505,-94.59516000000001,752,525,1956
Jackson                                 ,095-01377,AMERICAN ASPHALT ROOF CO.,FEE,3,"Gas(Convertional, Commercial)                                                   ",15jun1931,Abandoned                                                                       ,15jun1931,,39.09601,-94.49299000000001,752,530,1931
Cass                                    ,037-20267,AMERICAN INVESTORS CO.,MIDW. INVESTMENT CO.,2,Dry Hole                                                                        ,05mar1982,Plugged - Approved                                                              ,23oct1982,05mar1982,38.84103,-94.53998,1035,850,1982
Cass                                    ,037-20270,AMERICAN INVESTORS CO.,MIDW. INVESTMENT CO.,1,Dry Hole                                                                        ,16mar1982,Plugged - Approved                                                              ,12oct1982,16mar1982,38.84021,-94.53627,1050,870,1982
Dekalb                                  ,063-00018,AMERICAN OIL & GAS CORP.,"THOMPSON, J. J.",1,Dry Hole                                                                        ,22nov1940,Abandoned                                                                       ,22nov1940,,39.80703,-94.43145,1047,2261,1940
Dekalb                                  ,063-00003,AMERICAN OIL & REFINING,THOMPSON,1,Dry Hole                                                                        ,18dec1940,Abandoned                                                                       ,18dec1940,,39.80763,-94.43077,1051,2261,1940
Jackson                                 ,095-01577,AMERICAN SASH & DOOR CO.,FEE,,Dry Hole                                                                        ,22feb1932,Abandoned                                                                       ,22feb1932,,39.0925,-94.54628,844,675,1932
Dunklin                                 ,069-20001,AMOCO PRODUCTION CO.,SPENCE TRUST,1,Dry Hole                                                                        ,18nov1987,Plugged - Approved                                                              ,21feb1988,18nov1987,36.12079,-90.19358,249,10089,1987
Vernon                                  ,217-20183,AMOCO PRODUCTION CO.,STRATIGRAPHIC TEST,A-12,Stratigraphic Test                                                              ,12oct1976,Plugged - Approved                                                              ,14mar1977,12oct1976,37.84744,-94.23474,833,180,1976
Vernon                                  ,217-20184,AMOCO PRODUCTION CO.,STRATIGRAPHIC TEST,A-14,Stratigraphic Test                                                              ,12oct1976,Plugged - Approved                                                              ,15mar1977,12oct1976,37.84816,-94.30776,884,180,1976
Vernon                                  ,217-20185,AMOCO PRODUCTION CO.,STRATIGRAPHIC TEST,A-15,Stratigraphic Test                                                              ,12oct1976,Plugged - Approved                                                              ,14mar1977,12oct1976,37.81928,-94.25532,829,120,1976
Vernon                                  ,217-20186,AMOCO PRODUCTION CO.,STRATIGRAPHIC TEST,A-16,Stratigraphic Test                                                              ,12oct1976,Plugged - Approved                                                              ,15mar1977,12oct1976,37.82098,-94.30998,890,180,1976
Cass                                    ,037-00705,AMOS,CRAYCRAFT,1A,Gas(Private Use)                                                                ,06may1959,Abandoned                                                                       ,06may1959,,38.71163,-94.59395000000001,,726,1959
Buchanan                                ,021-20001,ANADARKO PRODUCTION CO.,WALES,1,Dry Hole                                                                        ,27feb1975,Plugged - Approved                                                              ,10mar1975,27feb1975,39.80366,-94.69951,986,1679,1975
Buchanan                                ,021-20004,ANADARKO PRODUCTION CO.,NOLD,1,Dry Hole                                                                        ,22jun1976,Plugged - Approved                                                              ,22jun1976,13may1976,39.80384,-94.67072,958,2040,1976
Holt                                    ,087-20007,ANADARKO PRODUCTION CO.,"DUDECK ""A""",1,Dry Hole                                                                        ,10may1976,Plugged - Approved                                                              ,26may1976,10may1976,39.9589,-95.07496999999999,1122,2243,1976
Nodaway                                 ,147-20003,ANADARKO PRODUCTION CO.,STAPLES,1,Dry Hole                                                                        ,27jan1975,Plugged - Approved                                                              ,20may1975,27jan1975,40.42146,-95.13285,949,3175,1975
Nodaway                                 ,147-20004,ANADARKO PRODUCTION CO.,SMITH,1,Dry Hole                                                                        ,10may1976,Plugged - Approved                                                              ,10jun1976,10may1976,40.44427,-95.10901,923,3150,1976
Vernon                                  ,217-21842,"ANCHOR ENERGY, INC.",GREER,2-1,Dry Hole                                                                        ,14aug1985,Plugged - Approved                                                              ,28aug1985,14aug1985,37.75672,-94.19092000000001,807,450,1985
Vernon                                  ,217-21860,"ANCHOR ENERGY, INC.","GARWOOD, OTTLEY",1,Stratigraphic Test                                                              ,21jan1986,Plugged - Approved                                                              ,08apr1996,21jan1986,37.94668,-94.50377,780,,1986
Cass                                    ,037-00102,ANDERSON,FEE,1,Dry Hole                                                                        ,22apr1928,Abandoned                                                                       ,22apr1928,,38.58872,-94.430537,867,562,1928
Cass                                    ,037-00103,ANDERSON,FEE,1,"Gas(Convertional, Commercial)                                                   ",19apr1928,Abandoned                                                                       ,19apr1928,,38.61276,-94.41831999999999,874,535,1928
Cass                                    ,037-00213,ANDERSON,FEE,,Dry Hole                                                                        ,15jun1947,Abandoned                                                                       ,15jun1947,,38.612452,-94.234854,902,350,1947
Jackson                                 ,095-01155,ANDERSON,FEE,1,Gas(Private Use)                                                                ,17dec1928,Abandoned                                                                       ,17dec1928,,38.95779,-94.44365000000001,823,245,1928
Jackson                                 ,095-01156,ANDERSON,FEE,2,Gas(Private Use)                                                                ,15jan1929,Abandoned                                                                       ,15jan1929,,38.96138,-94.44324,810,270,1929
Jackson                                 ,095-01157,ANDERSON,FEE,4,Gas(Private Use)                                                                ,24jan1929,Abandoned                                                                       ,24jan1929,,38.960958,-94.444402,826,273,1929
Knox                                    ,103-00009,"ANDERSON, B. T.",FEE,,"Gas(Convertional, Commercial)                                                   ",01jun1954,Abandoned                                                                       ,01jun1954,,40.17085,-92.01992,707,400,1954
Adair                                   ,001-20001,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,K-21,Stratigraphic Test                                                              ,11aug1975,Plugged - Approved                                                              ,05aug1975,11aug1975,40.33178,-92.82178999999999,1000,300,1975
Adair                                   ,001-20002,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,K-25,Stratigraphic Test                                                              ,11aug1975,Plugged - Approved                                                              ,11aug1975,11aug1975,40.30062,-92.84332999999999,860,200,1975
Adair                                   ,001-20003,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,SC-5,Stratigraphic Test                                                              ,18aug1975,Plugged - Approved                                                              ,12aug1975,18aug1975,40.33185,-92.85326999999999,1005,340,1975
Adair                                   ,001-20004,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,K-32,Stratigraphic Test                                                              ,25aug1975,Plugged - Approved                                                              ,19aug1975,25aug1975,40.32691,-92.76441,900,300,1975
Adair                                   ,001-20005,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,K-34,Stratigraphic Test                                                              ,25aug1975,Plugged - Approved                                                              ,20aug1975,25aug1975,40.29329,-92.77218000000001,950,300,1975
Adair                                   ,001-20006,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,K-37,Stratigraphic Test                                                              ,25aug1975,Plugged - Approved                                                              ,21aug1975,25aug1975,40.25806,-92.78203000000001,960,260,1975
Adair                                   ,001-20007,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,K-38,Stratigraphic Test                                                              ,25aug1975,Plugged - Approved                                                              ,23aug1975,25aug1975,40.19323,-92.78207,940,320,1975
Adair                                   ,001-20008,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,K-40,Stratigraphic Test                                                              ,02sep1975,Plugged - Approved                                                              ,23aug1975,02sep1975,40.21532,-92.85472,1035,360,1975
Dekalb                                  ,063-20001,ANSCHUTZ CORP.,"MAGEE, WAYNE",1,Dry Hole                                                                        ,24jan1975,Plugged - Approved                                                              ,24jan1975,15jan1975,40.00095,-94.37663000000001,967,2305,1975
Dekalb                                  ,063-20002,ANSCHUTZ CORP.,"HAYNES, G. K.",1,Dry Hole                                                                        ,21feb1975,Plugged - Approved                                                              ,21feb1975,03feb1975,40.01913,-94.60123,1020,2490,1975
Gentry                                  ,075-20003,ANSCHUTZ CORP.,"QUINN, ROBERT",1,Dry Hole                                                                        ,20nov1974,Plugged - Approved                                                              ,20nov1974,30sep1974,40.26463,-94.42910000000001,990,3420,1974
Gentry                                  ,075-20004,ANSCHUTZ CORP.,SLOCUM,1,Dry Hole                                                                        ,02dec1974,Plugged - Approved                                                              ,02dec1974,18nov1974,40.19319,-94.47999,970,2453,1974
Gentry                                  ,075-20005,ANSCHUTZ CORP.,JAMESON,1,Dry Hole                                                                        ,15dec1974,Plugged - Approved                                                              ,15dec1974,02dec1974,40.12724,-94.48583000000001,1030,2514,1974
Gentry                                  ,075-20006,ANSCHUTZ CORP.,"BRECKINRIDGE, J.",1,Dry Hole                                                                        ,12jan1975,Plugged - Approved                                                              ,12jan1975,15dec1974,40.10273,-94.56182,970,2519,1975
Gentry                                  ,075-20007,ANSCHUTZ CORP.,"PATTON, JOHN W.",1,Dry Hole                                                                        ,24jan1975,Plugged - Approved                                                              ,24jan1975,15dec1974,40.16345,-94.29976000000001,960,2315,1975
Gentry                                  ,075-20008,ANSCHUTZ CORP.,MCMICHAEL,4,Stratigraphic Test                                                              ,10feb1975,Plugged - Approved                                                              ,10feb1975,10feb1975,40.29678,-94.42487,888,396,1975
Gentry                                  ,075-20009,ANSCHUTZ CORP.,PILE,2,Stratigraphic Test                                                              ,14feb1975,Plugged - Approved                                                              ,15feb1975,14feb1975,40.28183,-94.45502999999999,992,460,1975
Gentry                                  ,075-20010,ANSCHUTZ CORP.,"MESSNER, LEON",3,Stratigraphic Test                                                              ,21feb1975,Plugged - Approved                                                              ,20feb1975,21feb1975,40.26755,-94.38883,906,415,1975
Gentry                                  ,075-20011,ANSCHUTZ CORP.,"EIBERGER, JOHN",5,Stratigraphic Test                                                              ,26feb1976,Plugged - Approved                                                              ,25feb1975,26feb1976,40.08263,-94.5218,1085,560,1976
Gentry                                  ,075-20012,ANSCHUTZ CORP.,"AUSTIN, ALEEN",1,Stratigraphic Test                                                              ,03mar1975,Plugged - Approved                                                              ,11feb1975,03mar1975,40.27451,-94.42802,870,400,1975
Gentry                                  ,075-20013,ANSCHUTZ CORP.,"SNAPP, G.",6,Stratigraphic Test                                                              ,28feb1975,Plugged - Approved                                                              ,28feb1975,03mar1975,40.05985,-94.52003999999999,1097,560,1975
Gentry                                  ,075-20014,ANSCHUTZ CORP.,JAMESON,7,Stratigraphic Test                                                              ,05mar1975,Plugged - Approved                                                              ,05mar1975,06mar1975,40.08221,-94.54924,1061,560,1975
Harrison                                ,081-20001,ANSCHUTZ CORP.,"SWARTZ, GARLAND",1,Dry Hole                                                                        ,09feb1975,Plugged - Approved                                                              ,09feb1975,24jan1975,40.29817,-94.14225,1000,2285,1975
Harrison                                ,081-20002,ANSCHUTZ CORP.,COLVIN,8,Stratigraphic Test                                                              ,12mar1975,Plugged - Approved                                                              ,11mar1975,12mar1975,40.33946,-94.13182999999999,1017,360,1975
Harrison                                ,081-20003,ANSCHUTZ CORP.,WILLIAMS,9,Stratigraphic Test                                                              ,19mar1975,Plugged - Approved                                                              ,15mar1975,19mar1975,40.39268,-94.11868,1058,360,1975
Putnam                                  ,171-20006,ANSCHUTZ CORP.,HARRIS,18,Stratigraphic Test                                                              ,25mar1975,Plugged - Approved                                                              ,21mar1975,25mar1975,40.53645,-92.79086,960,300,1975
Putnam                                  ,171-20007,ANSCHUTZ CORP.,ALLEN,20,Stratigraphic Test                                                              ,25mar1975,Plugged - Approved                                                              ,20mar1975,25mar1975,40.57839,-92.75341,955,300,1975
Putnam                                  ,171-20008,ANSCHUTZ CORP.,MACCORMACK,12,Stratigraphic Test                                                              ,02apr1975,Plugged - Approved                                                              ,31mar1975,02apr1975,40.45931,-93.02081,1050,475,1975
Putnam                                  ,171-20009,ANSCHUTZ CORP.,ARNAMAN,15,Stratigraphic Test                                                              ,10apr1975,Plugged - Approved                                                              ,10apr1975,10apr1975,40.52578,-92.9576,1029,320,1975
Putnam                                  ,171-20010,ANSCHUTZ CORP.,BAUGHER,17,Stratigraphic Test                                                              ,11apr1975,Plugged - Approved                                                              ,11apr1975,11apr1975,40.57574,-92.87081000000001,982,480,1975
Putnam                                  ,171-20011,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,K-30,Stratigraphic Test                                                              ,25aug1975,Plugged - Approved                                                              ,28aug1975,25aug1975,40.37098,-92.79470000000001,810,260,1975
Sullivan                                ,211-20001,ANSCHUTZ CORP.,KELLEY,8,Stratigraphic Test                                                              ,11apr1975,Plugged - Approved                                                              ,11apr1975,11apr1975,40.32195,-92.95312,1042,340,1975
Sullivan                                ,211-20002,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,K-23,Stratigraphic Test                                                              ,11aug1975,Plugged - Approved                                                              ,06aug1975,11aug1975,40.32236,-92.86564,850,220,1975
Sullivan                                ,211-20003,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,K-26,Stratigraphic Test                                                              ,18aug1975,Plugged - Approved                                                              ,11aug1975,18aug1975,40.29369,-92.85944000000001,1005,300,1975
Sullivan                                ,211-20004,ANSCHUTZ CORP.,STRATIGRAPHIC TEST,SC-9,Stratigraphic Test                                                              ,18aug1975,Plugged - Approved                                                              ,11aug1975,18aug1975,40.31188,-92.8925,1020,330,1975
