AppNum,Handle,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,MainStrucType,IssueDate,EstProjectCost,AppDescription
518982,14914000700,5743,NA,NA,LOTUS,AV,NA,1,1/27/2015 0:00:00,$4999.00,WRECK 2 STORY 1 FAMILY FRAME HOUSE
518983,15308000100,5894,NA,NA,DR MARTIN LUTHER KING,DR,NA,2,1/22/2015 0:00:00,$4999.00,WRECK 2 STORY 4 FAMILY BRICK REAR BLDG (1486-88 HAMILTON)
519001,14053010520,2733,NA,NA,JANUARY,AV,NA,1,1/16/2015 0:00:00,$7400.00,WRECK SINGLE FAMILY FRAME HOUSE
519117,14900000020,4040,NA,NA,GREEN LEA,PL,NA,1,1/27/2015 0:00:00,$4775.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 44-FY15)
519118,14413000090,4482,NA,NA,PENROSE,ST,NA,1,1/27/2015 0:00:00,$4775.00,WRECK 1.5 STORY 1 FAMILY BRICK HOUSE (PKG 44-FY15)
519119,13747000220,3726,NA,NA,FINNEY,AV,NA,1,2/6/2015 0:00:00,$4000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (PKG 45-FY15)
519120,13747000250,3716,NA,NA,FINNEY,AV,NA,1,2/6/2015 0:00:00,$4000.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 45-FY15)
519121,12359000440,2501,NA,NA,GLASGOW,AV,NA,20,1/23/2015 0:00:00,$6800.00,WRECK COMMERCIAL BUILDING (PKG 46-FY15)
519122,11068000190,2583,-85,NA,MONTGOMERY,ST,NA,1,1/27/2015 0:00:00,$6200.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 46-FY15)
519123,12478000225,2025,-29,E,GRAND,BLVD,NA,1,3/12/2015 0:00:00,$4100.00,WRECK 2 STORY MIXED USE BRICK BLDG  (PKG 47-FY15)
519124,12431000080,1918,NA,E,GRAND,BLVD,NA,1,3/12/2015 0:00:00,$3899.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 47-FY15)
519217,14130000390,3959,NA,NA,POTOMAC,ST,NA,23,1/5/2015 0:00:00,$750.00,WRECK FRAME 2 CAR GARAGE
519218,13715000570,4589,NA,NA,KENNERLY,AV,NA,1,3/2/2015 0:00:00,$5900.00,WRECK SINGLE FAMILY 1 1/2 STORY FRAME HOUSE (PKG 54-FY15)
519219,13715000580,4591,NA,NA,KENNERLY,AV,NA,1,3/2/2015 0:00:00,$4900.00,WRECK SINGLE FAMILY 1 1/2 STORY FRAME HOUSE (PKG 54-FY15)
519221,13715000590,4593,NA,NA,KENNERLY,AV,NA,1,3/9/2015 0:00:00,$4900.00,WRECK SINGLE FAMILY 1 1/2 STORY FRAME HOUSE (PKG 54-FY15)
519254,14543000070,5870,NA,NA,ENRIGHT,AV,NA,1,7/23/2015 0:00:00,$3500.00,WRECK 2 STORY SINGLE FAMILY BRICK HOUSE
519328,10159000020,828,NA,S,6TH,ST,NA,20,1/16/2015 0:00:00,$15535.00,WRECK COMMERCIAL BUILDING
519356,14114000520,3865,R,NA,HUMPHREY,ST,NA,23,1/12/2015 0:00:00,$500.00,HAND WRECK 2 CAR FRAME GARAGE
519359,15081000240,5240,NA,W,FLORISSANT,AV,NA,20,8/3/2015 0:00:00,$14700.00,PARTIAL WRECK OF 1 STORY COMMERCIAL BRICK BLDG
519360,12144000030,2,-10,NA,WARREN,ST,NA,20,1/13/2015 0:00:00,$3000.00,WRECK STEEL STORAGE BLDG (PA 15-1-1)
519361,13807100157,5570,NA,NA,RIDGE,AV,NA,20,1/30/2015 0:00:00,$4000.00,WRECK 1 STORY BRICK COMMERCIAL BLDG  (UT51-FY15)
519362,13815100060,1222,NA,NA,SHAWMUT,PL,NA,1,1/30/2015 0:00:00,$5000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE  (UT51-FY15)
519363,13661000140,1800,NA,NA,WHITTIER,ST,NA,1,2/25/2015 0:00:00,$5050.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (UT52-FY15)
519364,13773000370,4705,NA,NA,VERNON,AV,NA,1,4/7/2015 0:00:00,$5050.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE  (UT52-FY15)
519366,14468060570,4325,NA,NA,ST LOUIS,AV,NA,1,3/9/2015 0:00:00,$4000.00,WRECK 1 STORY 1 FAMILY FRAME (UT 53-FY15)
519368,14468060590,4329,NA,NA,ST LOUIS,AV,NA,1,2/25/2015 0:00:00,$4000.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (UT-53-FY15)
519369,14468060600,4331,NA,NA,ST LOUIS,AV,NA,1,2/25/2015 0:00:00,$3750.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (UT 53-FY15)
519370,13711020150,4554,NA,NA,LABADIE,AV,NA,1,1/22/2015 0:00:00,$4000.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE  (UT 48-FY15)
519371,13711020010,4630,NA,NA,LABADIE,AV,NA,1,1/22/2015 0:00:00,$6800.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (UT48-FY15)
519372,14462050020,4628,NA,NA,ASHLAND,AV,NA,1,1/27/2015 0:00:00,$4850.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (UT49-FY15)
519374,14462050010,4630,NA,NA,ASHLAND,AV,NA,1,1/23/2015 0:00:00,$4849.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE  (UT49-FY15)
519375,13719000090,4568,NA,NA,NORTH MARKET,ST,NA,1,3/19/2015 0:00:00,$3280.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (UT50-FY15)
519377,13718000720,4617,NA,NA,NORTH MARKET,ST,NA,1,3/6/2015 0:00:00,$3280.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (UT50-FY15)
519378,14473000040,4640,NA,NA,NORTH MARKET,ST,NA,1,3/5/2015 0:00:00,$3390.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (UT50-FY15)
519381,14054010160,5532,NA,NA,MAGNOLIA,AV,NA,1,2/18/2015 0:00:00,$8000.00,WRECK 1 STORY SINGLE FAMILY BRICK HOUSE
519383,10041000120,711,NA,S,1ST,ST,NA,20,2/20/2015 0:00:00,$35000.00,WRECK COMMERCIAL BUILDING
519384,14053010260,2615,NA,NA,JANUARY,AV,NA,1,2/18/2015 0:00:00,$10000.00,WRECK 1 1/2 STORY SINGLE FAMILY FRAME HOUSE
519426,13894000290,4643,NA,NA,LINDELL,BLVD,NA,20,1/20/2015 0:00:00,$68780.00,WRECK COMMERCIAL BUILDING
519445,16034000380,3914,NA,NA,BRANNON,AV,NA,20,3/12/2015 0:00:00,$800.00,WRECK 1 STORY BRICK COMMERCIAL BLDG
519483,16242000200,3500,R,NA,HAMPTON,AV,NA,20,2/18/2015 0:00:00,$10000.00,WRECK COMMERCIAL GARAGE - REAR
519504,10852000055,1,NA,NA,BUSCH,PL,NA,20,3/2/2015 0:00:00,$15535.00,WRECK COMMERCIAL BUILDING (BUILDING 138-A)
519510,15527000130,5420,NA,NA,BEACON,AV,NA,1,2/24/2015 0:00:00,$13000.00,WRECK 2 STORY 1 FAMILY FRAME AND BRICK HOUSE
519511,14042000040,5444,R,NA,DAGGETT,AV,NA,23,1/20/2015 0:00:00,$3000.00,WRECK GARAGE - REAR
519518,12698000020,3226,NA,N,DAKOTA,ST,NA,1,2/2/2015 0:00:00,$7000.00,WRECK 1 STORY SINGLE FAMILY BRICK HOUSE
519560,13388000015,5214,NA,NA,BLAIR,AV,NA,1,2/6/2015 0:00:00,$5500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE
519561,13388000014,5212,NA,NA,BLAIR,AV,NA,1,2/6/2015 0:00:00,$5500.00,WRECK 2 STORY 1 FAMILY FRAME HOUSE
519566,13388000017,5224,NA,NA,BLAIR,AV,NA,1,2/6/2015 0:00:00,$5500.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
519589,14043000010,5400,NA,NA,SHAW,AV,NA,20,2/10/2015 0:00:00,$8000.00,WRECK COMMERCIAL BUILDING (COMFORT STATION)
519618,13718000420,2401,NA,N,TAYLOR,AV,NA,20,3/6/2015 0:00:00,$7000.00,WRECK 1 STORY COMMERCIAL BUILDING
519628,13761060370,4535,NA,NA,ENRIGHT,AV,NA,1,2/23/2015 0:00:00,$10000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE
519629,11088000075,2310,NA,NA,HEBERT,ST,NA,1,3/4/2015 0:00:00,$7900.00,WRECK 2 STORY 1 FAMILY FRAME HOUSE
519630,15091000070,4924,NA,NA,GERALDINE,AV,NA,1,3/4/2015 0:00:00,$9800.00,WRECK 2 STORY 1 FAMILY FRAME HOUSE
519642,15398000280,4975,R,NA,PLOVER,AV,NA,23,1/26/2015 0:00:00,$500.00,HAND WRECK 2 CAR FRAME GARAGE
519649,15499000095,5235,-43,NA,MANCHESTER,AV,NA,20,2/26/2015 0:00:00,$153000.00,WRECK COMMERCIAL BUILDING
519653,15523000110,5768,-R,NA,DEGIVERVILLE,AV,NA,23,2/6/2015 0:00:00,$100.00,WRECK 1 CAR FRAME GARAGE
519661,12479000020,2134,NA,NA,OBEAR,AV,NA,1,2/13/2015 0:00:00,$2500.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE
519689,11929000200,4127,NA,NA,OBEAR,AV,NA,1,2/27/2015 0:00:00,$4100.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 55-FY15)
519690,11929000180,4131,NA,NA,OBEAR,AV,NA,1,2/26/2015 0:00:00,$4100.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 55-FY15)
519691,11929000130,3718,-20,NA,LEE,AV,NA,2,3/4/2015 0:00:00,$5000.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE (PKG 57-FY15)
519693,11929000120,3722,NA,NA,LEE,AV,NA,1,3/4/2015 0:00:00,$2400.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 57-FY15)
519706,13998220010,1615,NA,S,KINGSHIGHWAY,BLVD,NA,20,2/6/2015 0:00:00,$54000.00,WRECK COMMERCIAL BUILDING
519726,15805000190,6207,R,W,FLORISSANT,AV,NA,20,1/29/2015 0:00:00,$500.00,WRECK COMMERICAL SHED
519744,13305000140,3743,NA,NA,LEE,AV,NA,1,2/23/2015 0:00:00,$5000.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 56-15)
519745,13304000130,3772,NA,NA,LEE,AV,NA,1,2/27/2015 0:00:00,$6000.00,WRECK 1.5 STORY 1 FAMILY FRAME HOUSE
519770,14811000200,6825,NA,NA,SOUTHWEST,AV,NA,1,3/18/2015 0:00:00,$5000.00,WRECK 1 STORY 2 FAMILY FRAME HOUSE
519778,13683000215,4204,NA,W,COTE BRILLIANTE,AV,NA,1,3/4/2015 0:00:00,$4700.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE  (UT 60-FY15)
519779,13683000200,4210,NA,W,COTE BRILLIANTE,AV,NA,0,3/2/2015 0:00:00,$4700.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (UT 60-FY15)
519827,15671000085,4706,R,NA,GENEVIEVE,AV,NA,23,2/4/2015 0:00:00,$1000.00,WRECK TWO CAR FRAME GARAGE
519836,14490020035,4964,-R,NA,WABADA,AV,NA,23,2/4/2015 0:00:00,$500.00,WRECK 1 CAR BRICK GARAGE
519837,14054010220,5518,R,NA,MAGNOLIA,AV,NA,23,2/4/2015 0:00:00,$1500.00,WRECK ONE CAR GARAGE (FRAME)
519838,15268030420,4457,R,NA,MIAMI,ST,NA,23,2/4/2015 0:00:00,$500.00,HAND WRECK SINGLE CAR FRAME GARAGE
519896,15254000140,5555,NA,NA,MAFFITT,AV,NA,1,5/20/2015 0:00:00,$7898.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 63-FY15)
519898,13555020050,4616,NA,NA,CARRIE,AV,NA,1,4/6/2015 0:00:00,$6579.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE  (PKG 63-FY15)
519900,15347000120,6038,NA,NA,THEKLA,AV,NA,1,2/26/2015 0:00:00,$5500.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE  (PKG 64-FY15)
519901,15120000100,5240,NA,NA,PLOVER,AV,NA,6,3/12/2015 0:00:00,$6000.00,CLEAR RUBBLE   (PKG 64-FY15)
519902,15329000520,5311,NA,NA,CLAXTON,AV,NA,1,3/2/2015 0:00:00,$8250.00,WRECK 1.5 STORY 1 FAMILY FRAME HOUSE PER PLANS
519903,14515000320,2301,NA,NA,UNION,BLVD,NA,1,3/12/2015 0:00:00,$6900.00,WRECK 2 COMMERCIAL BUILDINGS(FRONT & REAR) PKG 66-FY15)
519906,15547000080,4454,R,NA,WALLACE,ST,NA,1,2/9/2015 0:00:00,$500.00,WRECK 1 CAR FRAME GARAGE
519951,13698000320,4325,NA,NA,ALDINE,AV,NA,1,2/27/2015 0:00:00,$3550.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE
519952,13674000510,4279,NA,NA,KENNERLY,AV,NA,2,2/27/2015 0:00:00,$6100.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE
519992,15152000300,5027,NA,NA,VERNON,AV,NA,1,2/12/2015 0:00:00,$3500.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE
520017,14073000273,5241,NA,NA,ELIZABETH,AV,NA,1,3/30/2015 0:00:00,$10000.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE
520026,11510000115,3314,NA,NA,NEBRASKA,AV,NA,1,3/10/2015 0:00:00,$8500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (EMERGENCY)
520049,14202000195,7220,R,N,BROADWAY,NA,NA,20,5/8/2015 0:00:00,$12000.00,WRECK 3 COMMERCIAL BUILDINGS (REAR)
520051,13663000190,4104,NA,NA,ST FERDINAND,AV,NA,1,3/12/2015 0:00:00,$2100.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE
520052,13674000300,2701,-03,NA,WHITTIER,ST,NA,2,4/8/2015 0:00:00,$3300.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE
520053,13674000290,2705,-07,NA,WHITTIER,ST,NA,2,3/23/2015 0:00:00,$3100.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE
520056,10645000015,1718,NA,N,13TH,ST,NA,1,2/26/2015 0:00:00,$5000.00,WRECK 2 STORY 1 FAMILY BRICK BUILDING
520057,10645000015,1720,NA,N,13TH,ST,NA,20,2/26/2015 0:00:00,$5000.00,WRECK COMMERCIAL BUILDING
520079,12838000180,439,NA,NA,FASSEN,ST,NA,23,2/17/2015 0:00:00,$600.00,WRECK 2 CAR GARAGE (HANDWRECK)
520126,13478000010,6200,NA,N,BROADWAY,NA,NA,20,5/12/2015 0:00:00,$5000.00,WRECK COMMERCIAL BUILDING
520128,13740000040,1218,NA,NA,JONES,ST,NA,1,3/4/2015 0:00:00,$11000.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE
520138,11422000161,2828,NA,NA,OHIO,AV,NA,1,3/6/2015 0:00:00,$4000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE
520139,11422000162,2832,NA,NA,OHIO,AV,NA,1,3/17/2015 0:00:00,$4000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE
520140,11422000163,2834,NA,NA,OHIO,AV,NA,1,3/17/2015 0:00:00,$4000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE
520151,12181050090,3649,NA,NA,HICKORY,ST,NA,1,3/16/2015 0:00:00,$17000.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE
520171,15293000250,4973,NA,NA,EMERSON,AV,NA,20,4/17/2015 0:00:00,$7000.00,WRECK COMMERCIAL BUILDING
520176,11422000161,2830,NA,NA,OHIO,AV,NA,1,3/6/2015 0:00:00,$4000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE
520193,11426000171,2842,NA,NA,MAGNOLIA,AV,NA,1,3/4/2015 0:00:00,$4000.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE
520253,14553050010,1220,NA,NA,REV GEORGE H PRUITT,PL,NA,25,2/26/2015 0:00:00,$0.00,DEMOLISH RETAINING WALL ONLY(PER PLANS)
520255,15205000050,704,-06,NA,THRUSH,AV,NA,2,3/27/2015 0:00:00,$4000.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE (69-FY15)
520256,10339000125,911,-13,NA,WARREN,ST,NA,2,3/27/2015 0:00:00,$4875.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE (PKG65-FY15)
520257,15431000120,8230,NA,NA,FREDERICK,ST,NA,1,4/14/2015 0:00:00,$3000.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE  (69-FY15)
520258,14248050190,1019,NA,NA,SELLS,AV,NA,1,4/13/2015 0:00:00,$4800.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
520259,10339000140,2600,-6,N,10TH,ST,NA,2,3/19/2015 0:00:00,$4875.00,WRECK 2 STORY MULTI-FAMILY BRICK BLDG (PKG 65-FY15)
520260,14895000340,4144,-48,W,CARTER,AV,NA,1,4/16/2015 0:00:00,$4500.00,WRECK 2 STORY SPLIT USE BRICK BUILDING  (PKG 61-FY15)
520311,15277000160,920,NA,NA,ELIAS,AV,NA,1,4/23/2015 0:00:00,$5900.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
520312,15400000270,845,NA,NA,HARLAN,AV,NA,1,4/23/2015 0:00:00,$5900.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
520313,15637000080,8468,NA,NA,CONCORD,PL,NA,1,4/23/2015 0:00:00,$5900.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE
520374,11998130200,2841,-51,NA,GRAVOIS,AV,NA,18,3/16/2015 0:00:00,$10000.00,WRECK GAS STATION/CONVENIENCE STORE
520381,14424000295,4126,NA,N,NEWSTEAD,AV,NA,1,3/12/2015 0:00:00,$6900.00,WRECK 2 STORY SINGLE FAMILY FRAME HOUSE
520495,13770000530,1115,NA,NA,BAYARD,AV,NA,1,4/2/2015 0:00:00,$7500.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (PKG 72-FY15)
520516,13917000165,4260,NA,NA,FOREST PARK,AV,NA,20,6/4/2015 0:00:00,$190000.00,WRECK COMMERCIAL BUILDING
520517,13917000165,4241,-63,NA,DUNCAN,AV,NA,20,6/17/2015 0:00:00,$87000.00,WRECK COMMERCIAL BUILDING
520528,14076000020,5244,-R,NA,SHAW,AV,NA,23,3/12/2015 0:00:00,$1000.00,WRECK 2 CAR FRAME GARAGE
520533,14918000180,3923,NA,NA,CLEVELAND,AV,NA,23,3/12/2015 0:00:00,$1500.00,WRECK 1 CAR GARAGE BRICK/FRAME
520544,12628000070,4130,R,NA,MINNESOTA,AV,NA,23,3/12/2015 0:00:00,$800.00,WRECK 1 CAR FRAME GARAGE
520560,14074000215,5215,NA,NA,BISCHOFF,AV,NA,1,4/14/2015 0:00:00,$5000.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
520561,14074000215,5213,NA,NA,BISCHOFF,AV,NA,1,4/14/2015 0:00:00,$5000.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
520597,14329010100,8649,NA,NA,PARK,LA,NA,8,8/14/2015 0:00:00,$17800.00,WRECK CHURCH BLDG (REVISED)
520598,14288000180,8937,NA,NA,NEWBY,ST,NA,1,4/24/2015 0:00:00,$10500.00,WRECK 2 STORY 1 FAMILY FRAME HOUSE
520599,11240000135,2146,NA,NA,NEWHOUSE,AV,NA,20,4/17/2015 0:00:00,$4500.00,WRECK COMMERCIAL BUILDING
520602,14701000100,3728,REAR,NA,NEOSHO,ST,NA,23,3/16/2015 0:00:00,$1500.00,WRECK 2 CAR FRAME GARAGE
520657,15335000180,5410,-R,NA,BLOW,ST,NA,23,3/18/2015 0:00:00,$1559.00,WRECK 2 CAR FRAME GARAGE
520703,14862000220,5325,NA,NA,BARTMER,AV,NA,6,5/21/2015 0:00:00,$7000.00,CLEAR RUBBLE  (PKG 71-FY15)
520704,14862000240,5333,NA,NA,BARTMER,AV,NA,1,5/5/2015 0:00:00,$7000.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE  (PKG 71-FY15)
520705,14409010315,4475,NA,NA,NATURAL BRIDGE,AV,NA,20,4/15/2015 0:00:00,$17000.00,WRECK COMMERCIAL BUILDING
520706,14409010315,4487,NA,NA,NATURAL BRIDGE,AV,NA,20,4/6/2015 0:00:00,$17000.00,WRECK COMMERCIAL BUILDING
520734,14623060230,2106,NA,NA,MCCAUSLAND,AV,NA,1,5/20/2015 0:00:00,$7850.00,WRECK 2 STORY SINGLE FAMILY FRAME HOUSE (PKG 73-FY15)
520735,12729000390,4503,NA,NA,LOUISIANA,AV,NA,1,4/17/2015 0:00:00,$7850.00,WRECK 1.5 STORY SINGLE FAMILY FRAME HOUSE (PKG 73-FY15)
520745,10663000280,825,-R,NA,ALLEN,AV,NA,23,8/10/2015 0:00:00,$4000.00,WRECK 1 CAR CINDER BLOCK GARAGE
520748,14408000100,4669,NA,NA,ESSEX,PL,NA,1,4/28/2015 0:00:00,$10325.00,WRECK 1 STORY SINGLE FAMILY BRICK HOUSE (PKG 1-2015)
520749,14408000020,4680,NA,NA,ESSEX,PL,NA,1,4/28/2015 0:00:00,$10625.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 1-2015)
520750,14408000120,4677,NA,NA,ESSEX,PL,NA,1,4/28/2015 0:00:00,$10525.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 1-2015)
520751,14408000070,4660,NA,NA,ESSEX,PL,NA,1,4/28/2015 0:00:00,$12225.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 1-2015)
520752,14408000090,4665,NA,NA,ESSEX,PL,NA,1,4/28/2015 0:00:00,$10295.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 1-2015)
520753,14408000151,4657,NA,NA,ESSEX,PL,NA,1,4/28/2015 0:00:00,$9375.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (PKG 1-2015)
520755,14408000060,4664,NA,NA,ESSEX,PL,NA,1,4/28/2015 0:00:00,$12575.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (PKG 1-2015)
520758,14408000080,4661,NA,NA,ESSEX,PL,NA,1,4/28/2015 0:00:00,$9575.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (PKG 1-2015)
520759,14408000050,4668,NA,NA,ESSEX,PL,NA,1,4/28/2015 0:00:00,$19875.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 1-2015)
520760,14408000130,4681,NA,NA,ESSEX,PL,NA,1,4/28/2015 0:00:00,$16625.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (PKG 1-2015)
520762,14239020040,7966,NA,NA,FREDERICK,ST,NA,1,7/10/2015 0:00:00,$12475.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 1-2015)
520763,14239020070,8022,NA,NA,FREDERICK,ST,NA,1,7/10/2015 0:00:00,$7825.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (PKG 1-2015)
520764,14238000220,7963,NA,NA,FREDERICK,ST,NA,1,7/10/2015 0:00:00,$9025.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
520765,14240000200,8015,NA,NA,FREDERICK,ST,NA,1,7/10/2015 0:00:00,$9475.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE  (PKG 1-2015)
520767,14240000060,1060,NA,NA,BITTNER,ST,NA,1,7/15/2015 0:00:00,$10525.00,WRECK 2 STORY SINGLE FAMILY FRAME HOUSE  (PKG 1-2015)
520768,14240000040,1066,NA,NA,BITTNER,ST,NA,1,7/15/2015 0:00:00,$9425.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (PKG 1-2015)
520769,14240000110,1040,NA,NA,BITTNER,ST,NA,1,7/15/2015 0:00:00,$19625.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 1-2015)
520770,14240000090,1048,NA,NA,BITTNER,ST,NA,1,7/15/2015 0:00:00,$16225.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (PKG 1-2015)
520771,14240000080,1052,NA,NA,BITTNER,ST,NA,1,7/15/2015 0:00:00,$9725.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE  (PKG 1-2015)
520775,15430000090,1014,NA,NA,TILLIE,AV,NA,1,7/10/2015 0:00:00,$13825.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE  (PKG 1-2015)
520776,15430000030,1034,NA,NA,TILLIE,AV,NA,1,7/10/2015 0:00:00,$9975.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 1-2015)
520777,14251000240,1037,NA,NA,TILLIE,AV,NA,1,7/10/2015 0:00:00,$12325.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 1-2015)
520778,14251000200,1025,NA,NA,TILLIE,AV,NA,1,7/10/2015 0:00:00,$9450.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 1-2015)
520779,14251000150,1011,NA,NA,TILLIE,AV,NA,1,7/10/2015 0:00:00,$10175.00,WRECK 2 STORY 1 FAMILY FRAME HOUSE (PKG 1-2015)
520780,14251000210,1029,NA,NA,TILLIE,AV,NA,1,7/10/2015 0:00:00,$13775.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE  (PKG 1-2015)
520781,14251000160,1013,NA,NA,TILLIE,AV,NA,1,7/10/2015 0:00:00,$10485.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE  (PKG 1-2015)
